,TimeStamp,ReadsAvg,WritesAvg
10149,2016-11-22 15:18:00,59.9832,117.483
10150,2016-11-22 15:18:01,60.2237,123.3457
10151,2016-11-22 15:18:03,55.95,108.2323
10152,2016-11-22 15:18:04,52.2323,104.9099
10153,2016-11-22 15:18:05,51.6125,104.183
10154,2016-11-22 15:18:11,53.3326,105.9387
10155,2016-11-22 15:18:14,54.2647,109.6227
10156,2016-11-22 15:18:16,54.592,109.6625
10157,2016-11-22 15:18:17,54.1552,109.4247
10158,2016-11-22 15:18:19,53.1823,107.661
10159,2016-11-22 15:18:22,53.5905,108.0613
10160,2016-11-22 15:18:23,54.9929,112.5331
10161,2016-11-22 15:18:24,52.6875,105.5827
10162,2016-11-22 15:18:25,53.6459,106.9297
10163,2016-11-22 15:18:26,55.5968,108.9675
10164,2016-11-22 15:18:27,55.3874,105.4294
10165,2016-11-22 15:18:28,54.7275,109.8073
10166,2016-11-22 15:18:29,53.5357,107.3272
10167,2016-11-22 15:18:32,53.3335,107.0275
10168,2016-11-22 15:18:33,53.7296,107.2049
10169,2016-11-22 15:18:34,54.5112,110.8151
10170,2016-11-22 15:18:36,52.7424,103.6743
10171,2016-11-22 15:18:37,53.3154,106.1114
10172,2016-11-22 15:18:38,53.5985,115.2253
10173,2016-11-22 15:18:40,54.0309,106.2951
10174,2016-11-22 15:18:41,53.8785,105.6584
10175,2016-11-22 15:18:42,53.7135,105.5576
10176,2016-11-22 15:18:44,53.2819,108.3853
10177,2016-11-22 15:18:45,53.2946,107.6083
10178,2016-11-22 15:18:48,59.231,105.0293
10179,2016-11-22 15:18:49,52.681,106.5826
10180,2016-11-22 15:18:50,53.6972,109.0862
10181,2016-11-22 15:18:54,54.0999,108.2895
10182,2016-11-22 15:18:55,52.6222,106.2549
10183,2016-11-22 15:18:56,53.1418,105.1831
10184,2016-11-22 15:18:57,53.6764,107.2013
10185,2016-11-22 15:18:58,53.5652,107.3062
10186,2016-11-22 15:18:59,53.8158,104.1878
10187,2016-11-22 15:19:01,54.2504,107.7793
10188,2016-11-22 15:19:02,55.0034,111.138
10189,2016-11-22 15:19:03,54.9817,109.7129
10190,2016-11-22 15:19:04,54.2447,108.5416
10191,2016-11-22 15:19:06,55.7595,109.5057
10192,2016-11-22 15:19:08,53.5708,108.1577
10193,2016-11-22 15:19:09,53.6561,104.9516
10194,2016-11-22 15:19:11,54.4427,104.0954
10195,2016-11-22 15:19:13,53.9185,107.3421
10196,2016-11-22 15:19:16,55.0126,111.8797
10197,2016-11-22 15:19:17,53.0664,107.4283
10198,2016-11-22 15:19:18,55.5691,110.2984
10199,2016-11-22 15:19:19,55.5349,110.0867
10200,2016-11-22 15:19:22,52.9455,105.9234
10201,2016-11-22 15:19:23,54.6107,108.8636
10202,2016-11-22 15:19:24,58.2386,112.1641
10203,2016-11-22 15:19:25,53.3296,106.8446
10204,2016-11-22 15:19:26,55.5649,108.9172
10205,2016-11-22 15:19:27,54.9725,112.3457
10206,2016-11-22 15:19:28,53.6688,105.8978
10207,2016-11-22 15:19:30,54.0784,108.3455
10208,2016-11-22 15:19:31,53.7382,106.5004
10209,2016-11-22 15:19:32,54.93600000000001,107.873
10210,2016-11-22 15:19:34,54.1068,105.9774
10211,2016-11-22 15:19:35,52.4553,106.2238
10212,2016-11-22 15:19:37,54.2038,107.7746
10213,2016-11-22 15:19:38,54.1287,107.7862
10214,2016-11-22 15:19:40,52.5473,106.5915
10215,2016-11-22 15:19:41,55.0664,109.4254
10216,2016-11-22 15:19:42,53.8978,109.2086
10217,2016-11-22 15:19:43,53.9406,105.2478
10218,2016-11-22 15:19:45,53.2832,104.5545
10219,2016-11-22 15:19:46,52.1842,110.5503
10220,2016-11-22 15:19:47,52.3949,105.9174
10221,2016-11-22 15:19:48,51.9819,104.2982
10222,2016-11-22 15:19:49,54.6255,109.2853
10223,2016-11-22 15:19:50,52.705,106.7647
10224,2016-11-22 15:19:51,53.1765,108.4025
10225,2016-11-22 15:19:54,53.2487,107.8005
10226,2016-11-22 15:19:55,53.2201,105.9508
10227,2016-11-22 15:19:56,53.547,108.9938
10228,2016-11-22 15:19:58,54.1171,107.2403
10229,2016-11-22 15:19:59,54.0259,107.6982
10230,2016-11-22 15:20:00,56.6716,110.5465
10231,2016-11-22 15:20:01,53.2143,108.6211
10232,2016-11-22 15:20:02,53.8986,108.3342
10233,2016-11-22 15:20:03,52.2926,105.7214
10234,2016-11-22 15:20:04,54.8611,108.8808
10235,2016-11-22 15:20:05,55.1502,109.8084
10236,2016-11-22 15:20:06,54.2116,105.5073
10237,2016-11-22 15:20:08,52.9556,107.0584
10238,2016-11-22 15:20:09,53.6465,108.5972
10239,2016-11-22 15:20:13,51.9816,103.5453
10240,2016-11-22 15:21:14,51.9769,104.5786
10241,2016-11-22 15:22:15,53.4749,106.2465
10242,2016-11-22 15:22:16,53.67100000000001,106.2017
10243,2016-11-22 15:22:17,52.8522,106.7645
10244,2016-11-22 15:22:18,53.248000000000005,107.3622
10245,2016-11-22 15:22:19,54.4109,106.5293
10246,2016-11-22 15:22:20,54.9434,113.1879
10247,2016-11-22 15:22:21,53.3166,105.3968
10248,2016-11-22 15:22:22,53.9846,110.1355
10249,2016-11-22 15:22:23,53.2616,108.6635
10250,2016-11-22 15:22:24,52.6472,105.8722
10251,2016-11-22 15:22:25,53.4045,108.3467
10252,2016-11-22 15:22:27,54.3944,107.3836
10253,2016-11-22 15:22:29,54.2078,108.2547
10254,2016-11-22 15:22:30,54.1097,108.0984
10255,2016-11-22 15:22:31,53.7523,107.0731
10256,2016-11-22 15:22:32,55.35,111.0538
10257,2016-11-22 15:22:33,55.4426,109.6048
10258,2016-11-22 15:22:35,52.6319,106.2211
